#,Name,Country,Nick,GP_t1 position,GP_t1 points,GP_t1 rank. points,GP_t2 position,GP_t2 points,GP_t2 rank. points,GP_t3 position,GP_t3 points,GP_t3 rank. points,GP_t4 position,GP_t4 points,GP_t4 rank. points,GP_t5 position,GP_t5 points,GP_t5 rank. points,GP_t6 position,GP_t6 points,GP_t6 rank. points,GP_t7 position,GP_t7 points,GP_t7 rank. points,Points,Played GPs,Total GPs,year
318.,Chen-Xiu Lin,Taiwan,NaMgAl,,,,,,,,,,,,,204,19.02,170,174,18.97,159,139,26.16,264,64.15,3,7,2014
319.,Xiao Wei Huang,China,xiao01wei,,,,,,,,,,,,,170,22.93,205,,,,71,41.02,414,63.95,2,7,2014
320.,Jeff Felling,USA,Jeff8,,,,218,24.25,216,227,16.58,159,,,,,,,,,,158,22.59,228,63.42,3,7,2014
321.,Joshua Zucker,USA,joshuazucker,,,,102,40.75,363,181,22.53,216,,,,,,,,,,,,,63.28,2,7,2014
322.,Giorgio Cambiano,Italy,Cambiano,223,23.86,233,230,23.57,210,,,,,,,,,,,,,207,15.76,159,63.19,3,7,2014
323.,Mathias Rosky,Germany,Mathi,,,,129,36.04,321,143,26.91,258,,,,,,,,,,,,,62.95,2,7,2014
324.,Ibon Arregui,Spain,ibon,,,,,,,,,,310,9.96,96,216,16.22,145,198,16.7,140,180,19.92,201,62.80,4,7,2014
325.,Kentaro Sumigawa,Japan,smiken,,,,,,,305,9.07,87,,,,259,12.86,115,183,18.25,153,159,22.59,228,62.77,4,7,2014
326.,Sarah Lonberg-Lew,USA,sarahlew,410,9.93,97,309,14.82,132,218,17.21,165,328,1.87,18,269,11.52,103,260,7.16,60,,,,62.51,6,7,2014
327.,Julie Gaddy,USA,WeatherGal,396,10.24,100,225,23.57,210,139,27.22,261,,,,,,,,,,,,,61.03,3,7,2014
328.,Leonidas Giannouzakos,Greece,bookie,82,40.86,399,,,,,,,,,,,,,171,19.69,165,,,,60.55,2,7,2014
329.,Beate Hammes,Germany,,,,,332,10.78,96,322,5.95,57,298,12.45,120,248,13.65,122,262,7.16,60,237,10.4,105,60.39,6,7,2014
330.,Bolesław Baniak,Poland,,211,25.81,252,356,7.41,66,,,,172,26.65,257,,,,,,,,,,59.87,3,7,2014
331.,Marian Kupco,Slovakia,mariankop,274,20.38,199,300,15.83,141,,,,258,17.01,164,297,6.15,55,,,,,,,59.37,4,7,2014
332.,Jelena Balanova,Latvia,,417,9.11,89,294,16.17,144,,,,314,9.33,90,271,10.63,95,243,10.26,86,257,3.86,39,59.36,6,7,2014
333.,Joey Cooper,USA,easonrevant,328,15.36,150,293,16.17,144,248,13.46,129,285,13.79,133,,,,,,,,,,58.78,4,7,2014
334.,Natalia Sakowska,Poland,,,,,267,19.87,177,221,16.9,162,211,21.88,211,,,,,,,,,,58.65,3,7,2014
335.,Dmytro Furayev,Ukraine,,,,,243,21.55,192,290,9.7,93,309,10.27,99,287,8.95,80,,,,244,8.03,81,58.50,5,7,2014
336.,Woosuk Kwak,"Korea, South",,,,,178,29.3,261,129,29.1,279,,,,,,,,,,,,,58.40,2,7,2014
337.,Anthonis Noor,Belgium,,246,22.12,216,132,36.04,321,,,,,,,,,,,,,,,,58.16,2,7,2014
338.,Martin Droppa,Slovakia,Droppa,,,,,,,,,,240,18.88,182,225,16.22,145,263,7.04,59,217,14.27,144,56.41,4,7,2014
339.,Danielle Moura,USA,,,,,,,,308,9.07,87,228,20.33,196,302,3.13,28,237,10.74,90,223,12.19,123,55.46,5,7,2014
340.,Javier Cucalon,Spain,Zadig,442,5.63,55,279,17.51,156,281,11.58,111,281,14.21,137,,,,265,6.32,53,,,,55.25,5,7,2014
341.,Roman Mureika,Canada,romanm44,440,5.84,57,335,10.78,96,296,9.39,90,311,9.75,94,295,6.15,55,228,12.88,108,,,,54.79,6,7,2014
342.,Roderick Grafton,UK,rodders,229,23.66,231,,,,117,30.98,297,,,,,,,,,,,,,54.64,2,7,2014
343.,Masaya Nagatani,Japan,Masa,,,,290,16.84,150,319,6.26,60,,,,,,,212,14.32,120,206,16.05,162,53.47,4,7,2014
344.,Сергей Podshivalov,Ukraine,,,,,210,25.59,228,133,27.85,267,,,,,,,,,,,,,53.44,2,7,2014
345.,Karel Doskocil,Czech Rep.,carlos5,200,26.73,261,,,,,,,165,26.65,257,,,,,,,,,,53.38,2,7,2014
346.,Laurent SAILLOT,France,LauLot57,,,,208,25.93,231,,,,245,18.56,179,288,8.72,78,,,,,,,53.21,3,7,2014
347.,Riccardo Carosso,Italy,,296,18.13,177,306,15.83,141,,,,299,12.45,120,291,6.49,58,,,,,,,52.90,4,7,2014
348.,ali kılıç,Turkey,ali-kilic,153,31.54,308,253,20.21,180,,,,,,,,,,,,,,,,51.75,2,7,2014
349.,Ján Morávek,Slovakia,kevaromnaj,242,22.63,221,,,,271,12.52,120,,,,,,,202,16.46,138,,,,51.61,3,7,2014
350.,Recep GÜL,Turkey,,199,26.83,262,,,,,,,,,,,,,,,,153,23.78,240,50.61,2,7,2014
#,Name,Country,Nick,GP1 position,GP1 points,GP1 rank. points,GP2 position,GP2 points,GP2 rank. points,GP3 position,GP3 points,GP3 rank. points,GP4 position,GP4 points,GP4 rank. points,GP5 position,GP5 points,GP5 rank. points,GP6 position,GP6 points,GP6 rank. points,GP7 position,GP7 points,GP7 rank. points,Points,Played GPs,Total GPs,2014
351.,David Lacey,Australia,,,,,,,,,,,286,13.79,133,235,14.88,133,222,13.12,110,243,8.62,87,50.41,4,7,2014
352.,Tobias Schreiner,Germany,chaos,366,12.7,124,213,24.58,219,260,12.83,123,,,,,,,,,,,,,50.11,3,7,2014
353.,Kristie Romano,USA,,433,7.37,72,326,12.8,114,288,10.01,96,327,3.11,30,294,6.15,55,259,7.16,60,249,6.24,63,49.73,7,7,2014
354.,George Tachtsidis,Greece,GeoTah,444,5.53,54,339,10.1,90,318,6.57,63,324,5.5,53,290,8.61,77,242,10.26,86,242,8.62,87,49.69,7,7,2014
355.,Maria Koemtzi,Greece,makoe,,,,366,6.4,57,333,3.44,33,308,10.89,105,280,9.51,85,223,13.12,110,248,6.24,63,49.60,6,7,2014
356.,Stephen Worlow,USA,sworls,,,,150,31.99,285,217,17.21,165,,,,,,,,,,,,,49.20,2,7,2014
357.,Dillip kumar Sahoo,India,dillip,338,14.75,144,,,,279,12.2,117,217,21.57,208,,,,,,,,,,48.52,3,7,2014
358.,Jozef Balaz,Slovakia,,,,,380,0.67,6,303,9.39,90,319,7.78,75,261,12.86,115,253,7.4,62,234,10.4,105,48.50,6,7,2014
359.,Veronika Hrubjáková,Slovakia,,259,21.51,210,202,26.94,240,,,,,,,,,,,,,,,,48.45,2,7,2014
360.,Karin Griffioen,Netherlands,,,,,,,,,,,,,,,,,42,48.44,406,,,,48.44,1,7,2014
361.,Karol Tavač,Slovakia,,406,10.04,98,363,6.74,60,280,12.2,117,293,13.28,128,293,6.15,55,,,,,,,48.41,5,7,2014
362.,digant sahoo,India,digant,408,10.04,98,299,15.83,141,300,9.39,90,,,,,,,224,13.12,110,,,,48.38,4,7,2014
363.,Pei Lu,Taiwan,Joky,,,,,,,,,,162,27.48,265,,,,156,20.64,173,,,,48.12,2,7,2014
364.,Gerda Nádor,Hungary,ingalili,222,23.96,234,222,23.91,213,,,,,,,,,,,,,,,,47.87,2,7,2014
365.,Petra Groselj,Slovenia,,,,,,,,,,,,,,130,29.53,264,185,18.25,153,,,,47.78,2,7,2014
366.,Matías Saucedo,Argentina,matiasv5,370,12.29,120,353,8.08,72,275,12.2,117,275,14.83,143,,,,,,,,,,47.40,4,7,2014
367.,Miro Kasar,Slovakia,miroKE,319,15.87,155,272,19.2,171,274,12.2,117,,,,,,,,,,,,,47.27,3,7,2014
368.,a b,Czech Rep.,,,,,,,,,,,58,46.98,453,,,,,,,,,,46.98,1,7,2014
369.,Jiri Erlebach,Czech Rep.,jirikCZ,262,21.2,207,,,,,,,,,,,,,128,25.29,212,,,,46.49,2,7,2014
370.,Marek Oja,Estonia,,310,16.49,161,285,16.84,150,266,12.52,120,,,,,,,,,,,,,45.85,3,7,2014
371.,Ehsan Bagheri,Iran,,241,22.63,221,236,22.9,204,,,,,,,,,,,,,,,,45.53,2,7,2014
372.,Wolfgang Hummel,Germany,,407,10.04,98,348,9.09,81,253,13.46,129,,,,257,12.86,115,,,,,,,45.45,4,7,2014
373.,Jalal El mostafa,Morocco,doukkali,,,,,,,219,16.9,162,153,28.52,275,,,,,,,,,,45.42,2,7,2014
374.,Ce Jin,China,jcvb,,,,,,,,,,,,,,,,,,,57,45.18,456,45.18,1,7,2014
375.,Marcia Klingensmith,USA,marcekmba,470,2.87,28,,,,192,20.03,192,321,7.47,72,,,,257,7.16,60,246,7.43,75,44.96,5,7,2014
376.,Akihiro Nakamura,Japan,nakarc,,,,,,,259,12.83,123,288,13.69,132,296,6.15,55,274,2.15,18,240,10.11,102,44.93,5,7,2014
377.,Piotr Biegoń,Poland,goniu,234,23.55,230,247,20.88,186,,,,,,,,,,,,,,,,44.43,2,7,2014
378.,Haruka Oishi,Japan,thirtyeight,238,23.35,228,263,19.87,177,,,,,,,,,,,,,,,,43.22,2,7,2014
379.,David McNeill,UK,,73,43.11,421,,,,,,,,,,,,,,,,,,,43.11,1,7,2014
380.,Dagmar Gieseler,Germany,magneta,291,18.43,180,229,23.57,210,,,,,,,,,,,,,,,,42.00,2,7,2014
381.,babuli Sahoo,India,babuli,,,,,,,277,12.2,117,231,19.39,187,283,9.51,85,,,,,,,41.10,3,7,2014
382.,Andrzej Burek,Poland,Andy,308,16.79,164,217,24.25,216,,,,,,,,,,,,,,,,41.04,2,7,2014
383.,Anderson Wang,USA,,,,,,,,,,,,,,,,,,,,69,41.02,414,41.02,1,7,2014
384.,Andrey Bogdanov,Russia,AndreyBogdanov,,,,,,,,,,,,,,,,,,,70,41.02,414,41.02,1,7,2014
385.,Will Beall,USA,WillBeall,300,17.92,175,,,,,,,,,,171,22.93,205,,,,,,,40.85,2,7,2014
386.,Christina Naskopoulou,Greece,christina,273,20.38,199,258,20.21,180,,,,,,,,,,,,,,,,40.59,2,7,2014
387.,James Anderson,USA,thejk47,,,,367,6.06,54,,,,257,17.01,164,,,,197,16.7,140,,,,39.77,3,7,2014
388.,Piotr Wysocki,Poland,,91,39.53,386,,,,,,,,,,,,,,,,,,,39.53,1,7,2014
389.,Petr Hanovec,Czech Rep.,,90,39.53,386,,,,,,,,,,,,,,,,,,,39.53,1,7,2014
390.,Naoya Otani,Japan,,369,12.49,122,,,,,,,,,,200,19.57,175,254,7.28,61,,,,39.34,3,7,2014
391.,Ali Biberoğlu,Turkey,,353,13.42,131,316,13.81,123,335,2.5,24,312,9.54,92,,,,,,,,,,39.27,4,7,2014
392.,Claudia Müller,Germany,pin7guin,314,16.18,158,235,22.9,204,,,,,,,,,,,,,,,,39.08,2,7,2014
393.,minfang lin,China,leafcard,,,,,,,,,,82,39,376,,,,,,,,,,39.00,1,7,2014
394.,David Cohen,USA,,,,,,,,310,9.07,87,316,8.71,84,272,10.18,91,235,10.98,92,,,,38.94,4,7,2014
395.,psw 1993,Malaysia,psw1993,100,38.91,380,,,,,,,,,,,,,,,,,,,38.91,1,7,2014
396.,Antariksha Singh Tomar,India,mysteryfan,97,38.91,380,,,,,,,,,,,,,,,,,,,38.91,1,7,2014
397.,Adam Suran,Czech Rep.,hjkl18,98,38.91,380,,,,,,,,,,,,,,,,,,,38.91,1,7,2014
398.,Friedhelm Fricke,Germany,badfried,282,19.56,191,,,,,,,,,,203,19.24,172,,,,,,,38.80,2,7,2014
399.,David Lein,Canada,Dave-L,,,,,,,,,,290,13.69,132,270,11.19,100,221,13.36,112,,,,38.24,3,7,2014
400.,Ankith Nagarle,India,Tinku,108,37.79,369,,,,,,,,,,,,,,,,,,,37.79,1,7,2014
#,Name,Country,Nick,GP1 position,GP1 points,GP1 rank. points,GP2 position,GP2 points,GP2 rank. points,GP3 position,GP3 points,GP3 rank. points,GP4 position,GP4 points,GP4 rank. points,GP5 position,GP5 points,GP5 rank. points,GP6 position,GP6 points,GP6 rank. points,GP7 position,GP7 points,GP7 rank. points,Points,Played GPs,Total GPs,2014
401.,Anna Lamperska,Poland,j0an0,345,14.34,140,,,,,,,,,,221,16.22,145,255,7.16,60,,,,37.72,3,7,2014
402.,Agnieszka Buraczyńska,Poland,Eltharien,,,,,,,,,,306,11.3,109,152,26.29,235,,,,,,,37.59,2,7,2014
403.,Daria Szmurlo,Poland,,297,17.92,175,271,19.2,171,,,,,,,,,,,,,,,,37.12,2,7,2014
404.,paolo tivano,Italy,flin68,228,23.66,231,323,13.13,117,,,,,,,,,,,,,,,,36.79,2,7,2014
405.,Norbert Sára,Hungary,Norba92,,,,,,,262,12.52,120,190,24.06,232,,,,,,,,,,36.58,2,7,2014
406.,Giulia Franceschini,Italy,iris,115,36.25,354,,,,,,,,,,,,,,,,,,,36.25,1,7,2014
407.,Godfrey Cheng,Canada,godfrey1988,114,36.25,354,,,,,,,,,,,,,,,,,,,36.25,1,7,2014
408.,Lubos Hyzak,Slovakia,,,,,,,,,,,,,,199,19.57,175,,,,198,16.65,168,36.22,2,7,2014
409.,Michał Mazur,Poland,k3isim,,,,,,,,,,,,,227,16.22,145,,,,181,19.92,201,36.14,2,7,2014
410.,Devarajan D,India,devarajand,455,5.53,54,346,9.09,81,326,5.95,57,317,8.3,80,306,0.89,8,,,,250,6.24,63,36.00,6,7,2014
411.,Svetlozar Stefanov,Bulgaria,zorko,,,,,,,,,,,,,,,,89,35.91,301,,,,35.91,1,7,2014
412.,Andrej Plaštiak,Slovakia,,,,,,,,,,,99,35.78,345,,,,,,,,,,35.78,1,7,2014
413.,David Moulton,USA,Badir,,,,308,14.82,132,,,,224,20.95,202,,,,,,,,,,35.77,2,7,2014
414.,Rakesh Rai,India,rakesh,118,35.74,349,,,,,,,,,,,,,,,,,,,35.74,1,7,2014
415.,Way Tan,Singapore,meowme,381,11.37,111,216,24.25,216,,,,,,,,,,,,,,,,35.62,2,7,2014
416.,Volkan Dilber,Turkey,vdilber,,,,,,,,,,104,35.26,340,,,,,,,,,,35.26,1,7,2014
417.,Fred Coughlin,USA,connect4,122,35.23,344,,,,,,,,,,,,,,,,,,,35.23,1,7,2014
418.,Neil Zussman,UK,Nilz,123,35.23,344,,,,,,,,,,,,,,,,,,,35.23,1,7,2014
419.,jalil almasi,Iran,jalil,121,35.23,344,,,,,,,,,,,,,,,,,,,35.23,1,7,2014
420.,Stöhr Marion,Germany,,329,15.05,147,,,,,,,229,20.02,193,,,,,,,,,,35.07,2,7,2014
421.,Olivier Rubio Godisdead,France,,,,,,,,88,35.05,336,,,,,,,,,,,,,35.05,1,7,2014
422.,akash doulani,India,,,,,135,35.02,312,,,,,,,,,,,,,,,,35.02,1,7,2014
423.,Ekaterina Krotkova,Russia,katerina,389,10.55,103,334,10.78,96,,,,289,13.69,132,,,,,,,,,,35.02,3,7,2014
424.,Marco Pellegrini,Italy,m19700530,136,34.2,334,,,,,,,,,,,,,,,,,,,34.20,1,7,2014
425.,Toncea Zoltan,Romania,,134,34.2,334,,,,,,,,,,,,,,,,,,,34.20,1,7,2014
426.,Suzanne Lee Judd,USA,SLJ821114,133,34.2,334,,,,,,,,,,,,,,,,,,,34.20,1,7,2014
427.,RuiJiao XI,China,,137,33.9,331,,,,,,,,,,,,,,,,,,,33.90,1,7,2014
428.,cedomir milanovic,Serbia,rimodech,,,,,,,98,33.8,324,,,,,,,,,,,,,33.80,1,7,2014
429.,jeonmin chae mr,"Korea, South",onacloud,,,,,,,,,,,,,103,33.56,300,,,,,,,33.56,1,7,2014
430.,Antony Fandakis,Greece,fantom,413,9.42,92,315,14.14,126,291,9.7,93,,,,,,,,,,,,,33.26,3,7,2014
431.,Gabriele Quaresima,Italy,wolfox,147,32.26,315,,,,,,,,,,,,,,,,,,,32.26,1,7,2014
432.,Richard Brady,USA,,,,,,,,,,,,,,214,17.9,160,,,,216,14.27,144,32.17,2,7,2014
433.,Esther Naef,Switzerland,esther59,466,4.3,42,354,8.08,72,210,19.71,189,,,,,,,,,,,,,32.09,3,7,2014
434.,Gayathri Jayaraman,India,GattJ,149,32.05,313,,,,,,,,,,,,,,,,,,,32.05,1,7,2014
435.,Veronika Heinrichsmeier,Mexico,veromex,150,31.95,312,,,,,,,,,,,,,,,,,,,31.95,1,7,2014
436.,Valeria Diefenbach,Germany,Vally185,155,31.54,308,,,,,,,,,,,,,,,,,,,31.54,1,7,2014
437.,Alice Prokopová,Czech Rep.,ecila,160,31.54,308,,,,,,,,,,,,,,,,,,,31.54,1,7,2014
438.,Supriya Sirsi,USA,,486,2.66,26,372,4.04,36,289,10.01,96,320,7.57,73,,,,261,7.16,60,,,,31.44,5,7,2014
439.,Eliska Gasova,Slovakia,,,,,342,9.09,81,,,,302,11.82,114,,,,240,10.5,88,,,,31.41,3,7,2014
440.,Lenson Andrade,India,lenson,,,,163,31.32,279,,,,,,,,,,,,,,,,31.32,1,7,2014
441.,Bart Geraci,USA,BJGeraci,439,5.84,57,,,,,,,255,17.32,167,305,0.89,8,258,7.16,60,,,,31.21,4,7,2014
442.,Hazel Anne Pullan,Philippines,Hazel,,,,,,,,,,,,,244,14.54,130,201,16.46,138,,,,31.00,2,7,2014
443.,Fatih Kamer Anda,Turkey,fkanda,,,,,,,,,,,,,,,,,,,111,30.92,312,30.92,1,7,2014
444.,Matthias Reichmayr,Austria,metsy,,,,,,,120,30.67,294,,,,,,,,,,,,,30.67,1,7,2014
445.,Andrea Jetter,Germany,,,,,173,30.65,273,,,,,,,,,,,,,,,,30.65,1,7,2014
446.,Anil Pophali,Canada,gratitude18,,,,378,0.67,6,330,5.63,54,305,11.3,109,298,6.15,55,272,2.39,20,256,4.16,42,30.30,6,7,2014
447.,Marián Kráľ,Slovakia,Maronko,478,2.66,26,357,6.74,60,327,5.95,57,274,14.93,144,,,,,,,,,,30.28,4,7,2014
448.,Deb Mohanty,India,debmohanty,166,29.9,292,,,,,,,,,,,,,,,,,,,29.90,1,7,2014
449.,Wichayet Saejung,Thailand,kim,,,,,,,,,,,,,,,,,,,117,29.73,300,29.73,1,7,2014
450.,Riccardo Albini,Italy,rical,477,2.66,26,,,,,,,315,8.82,85,211,18.23,163,,,,,,,29.71,3,7,2014
#,Name,Country,Nick,GP1 position,GP1 points,GP1 rank. points,GP2 position,GP2 points,GP2 rank. points,GP3 position,GP3 points,GP3 rank. points,GP4 position,GP4 points,GP4 rank. points,GP5 position,GP5 points,GP5 rank. points,GP6 position,GP6 points,GP6 rank. points,GP7 position,GP7 points,GP7 rank. points,Points,Played GPs,Total GPs,2014
451.,Nikolas Markus,Slovakia,emsi,437,6.35,62,318,13.47,120,295,9.39,90,,,,,,,,,,,,,29.21,3,7,2014
452.,Alan Lemm,USA,dante1,331,15.05,147,313,14.14,126,,,,,,,,,,,,,,,,29.19,2,7,2014
453.,Takuma Kitamura,Japan,SP1,,,,,,,,,,,,,,,,187,18.13,152,231,11,111,29.13,2,7,2014
454.,Daniela Ondovcikova,Slovakia,,397,10.24,100,361,6.74,60,,,,,,,268,11.52,103,,,,,,,28.50,3,7,2014
455.,David Schmitz,USA,,183,28.37,277,,,,,,,,,,,,,,,,,,,28.37,1,7,2014
456.,Srikrishna Gutta,UK,Sri,180,28.37,277,,,,,,,,,,,,,,,,,,,28.37,1,7,2014
457.,domenico abbondanza,Italy,spock,186,28.37,277,,,,,,,,,,,,,,,,,,,28.37,1,7,2014
458.,Dimitrios Polizos,Greece,,427,8.5,83,379,0.67,6,,,,294,12.55,121,,,,264,6.56,55,,,,28.28,4,7,2014
459.,Kristiana Karakigianou,Greece,farmatwnzwwn,475,2.87,28,368,6.06,54,317,6.88,66,297,12.45,120,,,,,,,,,,28.26,4,7,2014
460.,Yusuke Hara,Japan,Hikaru,189,27.85,272,,,,,,,,,,,,,,,,,,,27.85,1,7,2014
461.,Barbara Thompson,USA,Penumbra,347,14.34,140,,,,,,,292,13.48,130,,,,,,,,,,27.82,2,7,2014
462.,pani Oskarkova,Czech Rep.,,,,,,,,,,,160,27.8,268,,,,,,,,,,27.80,1,7,2014
463.,Eva Wagner,Germany,formaly,372,11.88,116,296,15.83,141,,,,,,,,,,,,,,,,27.71,2,7,2014
464.,Raman Garimella,India,rgarimella,192,27.65,270,,,,,,,,,,,,,,,,,,,27.65,1,7,2014
465.,rossini gianluca,Italy,yuma67,346,14.34,140,322,13.13,117,,,,,,,,,,,,,,,,27.47,2,7,2014
466.,Brenda Troisi,USA,btroisi,,,,359,6.74,60,,,,307,11.1,107,300,3.13,28,,,,251,6.24,63,27.21,4,7,2014
467.,Lucka Ondovcikova,Slovakia,,460,5.53,54,358,6.74,60,,,,,,,243,14.54,130,,,,,,,26.81,3,7,2014
468.,Johan Haasakker,Netherlands,,,,,,,,,,,,,,,,,,,,134,26.75,270,26.75,1,7,2014
469.,Hisashi Yamamoto,Japan,tarosan,201,26.63,260,,,,,,,,,,,,,,,,,,,26.63,1,7,2014
470.,Eberhard Zehendner,Germany,zehendner,392,10.34,101,,,,315,7.51,72,,,,289,8.72,78,,,,,,,26.57,3,7,2014
471.,Gabriele Carelli,Italy,GaS,203,26.52,259,,,,,,,,,,,,,,,,,,,26.52,1,7,2014
472.,Sam Boden,UK,Sam Boden,205,26.32,257,,,,,,,,,,,,,,,,,,,26.32,1,7,2014
473.,Terry Austen,USA,cyberx60,206,26.22,256,,,,,,,,,,,,,,,,,,,26.22,1,7,2014
474.,Franco Laera,Italy,Francoclaudio,,,,,,,,,,,,,,,,125,26.13,219,,,,26.13,1,7,2014
475.,Almut Fischer,Germany,,399,10.24,100,301,15.83,141,,,,,,,,,,,,,,,,26.07,2,7,2014
476.,Tarun Madan,India,tarunm,356,13.42,131,328,12.46,111,,,,,,,,,,,,,,,,25.88,2,7,2014
477.,Jennifer Lowekamp,USA,jlowekamp,432,7.37,72,341,9.43,84,311,9.07,87,,,,,,,,,,,,,25.87,3,7,2014
478.,Christina Sieber,Switzerland,ChrisSie,461,5.53,54,254,20.21,180,,,,,,,,,,,,,,,,25.74,2,7,2014
479.,Lauri Takk,Estonia,driv4r,483,2.66,26,319,13.47,120,292,9.39,90,,,,,,,,,,,,,25.52,3,7,2014
480.,Meghna Shetty,India,,215,25.4,248,,,,,,,,,,,,,,,,,,,25.40,1,7,2014
481.,John HC Park,"Korea, South",puzzlerepublic,,,,,,,,,,,,,275,9.84,88,234,11.57,97,259,3.86,39,25.27,3,7,2014
482.,Francesca Pedrielli,Italy,dadency,335,14.95,146,,,,286,10.01,96,,,,,,,,,,,,,24.96,2,7,2014
483.,맹환 김,"Korea, South",call_ace,464,5.53,54,327,12.46,111,323,5.95,57,,,,,,,,,,,,,23.94,3,7,2014
484.,Harmeet Singh,India,harmeet,225,23.86,233,,,,,,,,,,,,,,,,,,,23.86,1,7,2014
485.,Alan Filipin,Croatia,,,,,,,,166,23.78,228,,,,,,,,,,,,,23.78,1,7,2014
486.,Sohaima Jabeen,Bangladesh,sohaima94,227,23.66,231,,,,,,,,,,,,,,,,,,,23.66,1,7,2014
487.,Zalak Ghetia,India,zalak,,,,226,23.57,210,,,,,,,,,,,,,,,,23.57,1,7,2014
488.,claudio toffon,Italy,claudio62,,,,,,,,,,,,,250,13.2,118,,,,238,10.11,102,23.31,2,7,2014
489.,Sandy Dominguez,Mexico,sandy_dom,434,7.17,70,298,15.83,141,,,,,,,,,,,,,,,,23.00,2,7,2014
490.,Dávid Varga,Slovakia,,,,,320,13.47,120,297,9.39,90,,,,,,,,,,,,,22.86,2,7,2014
491.,Vendula Kučerová,Czech Rep.,Wendy,,,,240,22.23,198,,,,,,,,,,,,,,,,22.23,1,7,2014
492.,Robert Bearda,Netherlands,,245,22.22,217,,,,,,,,,,,,,,,,,,,22.22,1,7,2014
493.,Kanz Jacqueline,Germany,LaChica,253,21.71,212,,,,,,,,,,,,,,,,,,,21.71,1,7,2014
494.,Roger Strain,USA,FoxFireX,256,21.61,211,,,,,,,,,,,,,,,,,,,21.61,1,7,2014
495.,arsalan majidi,Iran,,257,21.61,211,,,,,,,,,,,,,,,,,,,21.61,1,7,2014
496.,Adam Thrasher,USA,adamthrasher,,,,,,,,,,215,21.57,208,,,,,,,,,,21.57,1,7,2014
497.,Steven Kiefer,USA,smkiefer,258,21.51,210,,,,,,,,,,,,,,,,,,,21.51,1,7,2014
498.,Andreas Lenz,Germany,,260,21.51,210,,,,,,,,,,,,,,,,,,,21.51,1,7,2014
499.,Ohgun Park,"Korea, South",,,,,,,,,,,,,,277,9.84,88,,,,229,11.59,117,21.43,2,7,2014
500.,Christian Romon,France,Christian,,,,,,,,,,,,,,,,,,,176,21.4,216,21.40,1,7,2014
#,Name,Country,Nick,GP1 position,GP1 points,GP1 rank. points,GP2 position,GP2 points,GP2 rank. points,GP3 position,GP3 points,GP3 rank. points,GP4 position,GP4 points,GP4 rank. points,GP5 position,GP5 points,GP5 rank. points,GP6 position,GP6 points,GP6 rank. points,GP7 position,GP7 points,GP7 rank. points,Points,Played GPs,Total GPs,2014
501.,Erik Amor,Estonia,,,,,,,,,,,,,,,,,267,4.65,39,199,16.65,168,21.30,2,7,2014
502.,Indrek Haller,Estonia,Indrekh,484,2.66,26,345,9.09,81,294,9.39,90,,,,,,,,,,,,,21.14,3,7,2014
503.,Ezgi Sözen,Turkey,,,,,,,,,,,223,21.05,203,,,,,,,,,,21.05,1,7,2014
504.,KC Hui,Hong Kong,betterman_hk,,,,,,,,,,,,,,,,158,20.64,173,,,,20.64,1,7,2014
505.,Yeshong Park,"Korea, South",yeshong,270,20.38,199,,,,,,,,,,,,,,,,,,,20.38,1,7,2014
506.,Steve Brooks,USA,,276,20.38,199,,,,,,,,,,,,,,,,,,,20.38,1,7,2014
507.,Matej Uher,Slovakia,muhorka,268,20.38,199,,,,,,,,,,,,,,,,,,,20.38,1,7,2014
508.,Pierrot Tesfou,France,Pierrot,272,20.38,199,,,,,,,,,,,,,,,,,,,20.38,1,7,2014
509.,Helge Gross,Germany,,275,20.38,199,,,,,,,,,,,,,,,,,,,20.38,1,7,2014
510.,Tomas Kruml,Czech Rep.,tomason,284,19.56,191,,,,,,,,,,,,,,,,,,,19.56,1,7,2014
511.,Jill Ho Tai,USA,Jill H,441,5.84,57,,,,,,,,,,247,13.65,122,,,,,,,19.49,2,7,2014
512.,Miroslav Dráb,Czech Rep.,Anatoly,401,10.24,100,351,9.09,81,,,,,,,,,,,,,,,,19.33,2,7,2014
513.,Elizabeth Yfantidou,Greece,Elizabeta,,,,360,6.74,60,,,,296,12.45,120,,,,,,,,,,19.19,2,7,2014
514.,Pedro Quintana Lacaci Aviles,Spain,pquintanalacaci,,,,349,9.09,81,283,10.01,96,,,,,,,,,,,,,19.10,2,7,2014
515.,Liisa Sarakontu,Finland,lsarakon,285,19.05,186,,,,,,,,,,,,,,,,,,,19.05,1,7,2014
516.,BILLOT Pierre,Belgium,,,,,,,,,,,,,,,,,181,18.49,155,,,,18.49,1,7,2014
517.,Bjoern Roesel,Germany,oe2,290,18.43,180,,,,,,,,,,,,,,,,,,,18.43,1,7,2014
518.,n.shunmugam shunmugam,India,nallasivan shunmugam,,,,374,2.69,24,287,10.01,96,322,5.7,55,,,,,,,,,,18.40,3,7,2014
519.,Lohmeyer Niels,Germany,logik66,,,,375,0.67,6,,,,254,17.53,169,,,,,,,,,,18.20,2,7,2014
520.,Hye Jin Jang,"Korea, South",Cherry,,,,275,18.19,162,,,,,,,,,,,,,,,,18.19,1,7,2014
521.,Martin Krebs,Slovakia,kmartin,294,18.13,177,,,,,,,,,,,,,,,,,,,18.13,1,7,2014
